song,1983,1984,1985,1986,1987,1989,1990,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Every Breath You Take,2.0,3.0,4.0,3.0,,,,4.0,5.0,2.0,12.0,6.0,6.0,3.0,4.0,4.0,8.0,4.0,10.0,14.0,9.0,10.0,10.0,17.0,10.0,10.0,9.0,10.0,9.0,15.0,15.0,11.0,16.0,11.0,7.0,10.0,5.0,2.0
King of Pain,-2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,3.0,1.0,,6.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,,,,1.0
Mother,-2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
Murder by Numbers,-2.0,,,,,1.0,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,3.0,1.0,,,,,1.0,,,
Synchronicity I,-2.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,2.0,,,,
Synchronicity II,-2.0,,,,,,,,,1.0,1.0,,,,,1.0,5.0,,2.0,,4.0,,1.0,1.0,,,2.0,3.0,,,,1.0,,2.0,,,,
Tea in the Sahara,-2.0,,,1.0,,,,,,,1.0,,,,1.0,,4.0,1.0,1.0,,,,2.0,,2.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,
Walking in Your Footsteps,-2.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,2.0,,1.0,,,,,,,1.0,,,,1.0,,2.0
Wrapped Around Your Finger,-2.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,,4.0,1.0,5.0,2.0,2.0,3.0,6.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
