song,1983,1984,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Every Breath You Take,7.0,3.0,5.0,2.0,,,,3.0,1.0,5.0,2.0,12.0,5.0,6.0,3.0,5.0,3.0,9.0,5.0,10.0,14.0,12.0,12.0,10.0,18.0,11.0,11.0,9.0,11.0,10.0,15.0,17.0,12.0,16.0,14.0,9.0,12.0,6.0,3.0,3.0
King of Pain,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,,,2.0,2.0,,6.0,4.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,,2.0,
Mother,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
Murder by Numbers,1.0,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,3.0,,,,,1.0,1.0,1.0,,2.0,
Synchronicity I,1.0,,,,,,,,,,1.0,2.0,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,2.0,,2.0,,,,,
Synchronicity II,1.0,,,,,,,,,,1.0,1.0,1.0,,,,1.0,5.0,,2.0,,4.0,1.0,2.0,,,,1.0,2.0,,,1.0,1.0,,2.0,,,,,
Tea in the Sahara,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,3.0,,,,,,3.0,1.0,1.0,,,,2.0,
Walking in Your Footsteps,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,1.0,2.0,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,
Wrapped Around Your Finger,1.0,,,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,
