song,1982,1983,1984,1985,1986,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Baby Be Mine,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,1.0,,2.0,,,
Beat It,1.0,3.0,5.0,2.0,,2.0,1.0,1.0,,,1.0,,,,1.0,3.0,2.0,,1.0,1.0,1.0,,3.0,1.0,5.0,14.0,17.0,3.0,9.0,8.0,6.0,10.0,4.0,5.0,7.0,2.0,2.0,1.0,2.0
Billie Jean,2.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,,1.0,3.0,4.0,3.0,3.0,2.0,4.0,8.0,6.0,7.0,22.0,16.0,10.0,20.0,11.0,8.0,13.0,9.0,9.0,9.0,3.0,3.0,3.0,4.0
Human Nature,1.0,,2.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,1.0,4.0,,1.0,5.0,2.0,12.0,12.0,8.0,15.0,8.0,7.0,9.0,6.0,3.0,3.0,6.0,1.0,1.0,3.0
P.Y.T. (Pretty Young Thing),1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,6.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,,,2.0,,2.0
The Girl is Mine,1.0,2.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,2.0,5.0,2.0,1.0,4.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0
The Lady in My Life,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,5.0,1.0,5.0,,,1.0,1.0,1.0,,,2.0,,1.0
Thriller,1.0,,4.0,,,,,,,1.0,,1.0,1.0,,1.0,2.0,5.0,,2.0,2.0,,,4.0,3.0,8.0,13.0,17.0,5.0,9.0,5.0,5.0,9.0,8.0,5.0,6.0,4.0,3.0,2.0,4.0
Wanna Be Startin' Somethin',1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,1.0,,,,1.0,,,,,2.0,6.0,,,4.0,2.0,,4.0,2.0,1.0,3.0,,1.0,1.0,3.0
